author,text,published_at,likes,clean_text
@guardiannews,John Lewis ad kickstarts Christmas countdown to the tune of 90s club classic ► https://www.theguardian.com/media/2025/nov/04/john-lewis-christmas-advert-countdown-90s-club-classic-where-love-lives,2025-11-04 09:21:26+00:00,40,john lewis ad kickstarts christmas countdown to the tune of 90s club classic
@Jess-qy6pm,Was a black singer!!!!!,2025-11-14 22:30:54+00:00,0,was a black singer!!!!!
@hopeack12345,❤❤❤❤ Came here after watching the diabolical m&s advert,2025-11-14 22:23:44+00:00,0,came here after watching the diabolical m&s advert
@LessMarxMoreMises,"Worst Christmas ad in history! Was it written by AI?! Forced sentimentality, weird, parody-like cringe fest! It's as if they said ""Right, what sums up a British Christmas?... A middle-aged, Labour-voting dad  doing TikTok-level Dad Dancing at a rave he absolutely should not be at!""",2025-11-14 21:01:06+00:00,0,"worst christmas ad in history! was it written by ai?! forced sentimentality, weird, parody-like cringe fest! it's as if they said ""right, what sums up a british christmas?... a middle-aged, labour-voting dad doing tiktok-level dad dancing at a rave he absolutely should not be at!"""
@rosson1983,Excellent advert. As usual JL blows the other retailers out of the water.,2025-11-14 19:24:21+00:00,0,excellent advert. as usual jl blows the other retailers out of the water.
@jackieplatts4359,"Oh this is lovely and, yes, I’m crying 🥹",2025-11-14 17:38:26+00:00,0,"oh this is lovely and, yes, i’m crying 🥹"
@m535i,"Well done to all those who put this amazing John Lewis advert together. Absolutely nailed it. Can't believe the emotions & tears that have come over me. I'd do anything for one last hug with my dad, but sadly he's gone. Lets hope this advert brings families closer together again.",2025-11-14 16:18:35+00:00,0,"well done to all those who put this amazing john lewis advert together. absolutely nailed it. can't believe the emotions & tears that have come over me. i'd do anything for one last hug with my dad, but sadly he's gone. lets hope this advert brings families closer together again."
@juliabroadley8411,Beautiful 😢❤,2025-11-14 14:40:39+00:00,0,beautiful
@666kismett,Another disappointing Christmas advert,2025-11-14 12:44:17+00:00,0,another disappointing christmas advert
@engerland3239,Old skoolers ❤️ ❤,2025-11-14 10:45:24+00:00,0,old skoolers
@desertofthereal4062,Where is this advert made for? Can’t be the UK it’s brilliant ✌️,2025-11-14 07:19:43+00:00,0,where is this advert made for? can’t be the uk it’s brilliant
@nonsense168,And a piano house track,2025-11-14 07:18:57+00:00,0,and a piano house track
@BlazeNero,"Finally, a White British family lol",2025-11-14 00:22:50+00:00,2,"finally, a white british family lol"
@nanookmoose,Nice to see a Christmas advert representing 82% of England and Wales for a change.,2025-11-13 23:17:04+00:00,0,nice to see a christmas advert representing 82% of england and wales for a change.
@Josephdrfsharpe,Great advert!,2025-11-13 22:57:25+00:00,0,great advert!
@Peter-mw3wj,This is their best Christmas advert and you know they had it large on NYE,2025-11-13 21:57:23+00:00,0,this is their best christmas advert and you know they had it large on nye
@Danny-vx1wc,"Well done John Lewis, we all needed this. Normal family, normal history, normal Christmas  normal message. Final feels like a Christmas ad we can all relate to.",2025-11-13 21:51:09+00:00,0,"well done john lewis, we all needed this. normal family, normal history, normal christmas normal message. final feels like a christmas ad we can all relate to."
@tylerpearce9610,Brings me tears tbh I can relate to this 100%,2025-11-13 20:43:35+00:00,0,brings me tears tbh i can relate to this 100%
@tylerpearce9610,They never miss,2025-11-13 20:42:39+00:00,0,they never miss
@btkjay9749,My father's idea of bonding was smashing an ashtray across my face and hoofing me down the stairs. Happy days.,2025-11-13 17:38:29+00:00,0,my father's idea of bonding was smashing an ashtray across my face and hoofing me down the stairs. happy days.
@KarimaMane-e9s,Eeeee loved the music didn’t cry tho shame wanted to feel,2025-11-13 17:15:42+00:00,0,eeeee loved the music didn’t cry tho shame wanted to feel
@ltrott83,"Best John Lewis Ad in years, if not ever!",2025-11-13 17:03:15+00:00,1,"best john lewis ad in years, if not ever!"
@wkdsush,Cringe 😂,2025-11-13 16:55:17+00:00,0,cringe
@JustinPugsley,"What a great ad - very sentimental, but positive. Just right for Christmas!",2025-11-13 16:24:07+00:00,0,"what a great ad - very sentimental, but positive. just right for christmas!"
@s.n.852,"Anyone  knows  name of the song ( second  part  of the  song ,male vocal )?",2025-11-13 16:00:37+00:00,0,"anyone knows name of the song ( second part of the song ,male vocal )?"
@DamienCharlesworth85,"Amazing track, never thought I would hear that on a Xmas Ad ever.

Well done on an amazing advert John Lewis!",2025-11-13 11:48:31+00:00,0,"amazing track, never thought i would hear that on a xmas ad ever. well done on an amazing advert john lewis!"
@yudit4208,"So simple, made me cry",2025-11-13 11:35:28+00:00,0,"so simple, made me cry"
@ExploringwithAustinandThomas,"I consider myself very lucky that I'm have a close relationship with my son, we share our love of Exploring, 90s music , video games, but yep he does sometimes wear the big headphones and complains when he has to tidy up but that's Teenagers 🙂",2025-11-13 09:59:34+00:00,1,"i consider myself very lucky that i'm have a close relationship with my son, we share our love of exploring, 90s music , video games, but yep he does sometimes wear the big headphones and complains when he has to tidy up but that's teenagers"
@SuperTorres76,The worst christmas advert i have ever seen,2025-11-13 08:29:13+00:00,0,the worst christmas advert i have ever seen
@christopherhoward5959,Great advert,2025-11-13 07:27:06+00:00,0,great advert
@3500P5,"Started off mega cheesy, then it got me 😢",2025-11-13 06:29:11+00:00,0,"started off mega cheesy, then it got me"
@cotchingg,"Finally, something without an agenda, brung a tear to my eye",2025-11-12 20:52:24+00:00,1,"finally, something without an agenda, brung a tear to my eye"
@astrabelmont,53 year-old with a five year-old who saves my life every single day.  Need I say more.,2025-11-12 20:09:41+00:00,2,53 year-old with a five year-old who saves my life every single day. need i say more.
@judygreggor612,"This is what a Christmas advert should look like, should represent.  Love, Dads, Sons, Mothers, daughters, family.  ♥♥",2025-11-12 17:54:18+00:00,7,"this is what a christmas advert should look like, should represent. love, dads, sons, mothers, daughters, family."
@sashal7812,🥺🥺🥺🥺🥺🥺🥺🥺🥺,2025-11-12 17:53:47+00:00,1,🥺🥺🥺🥺🥺🥺🥺🥺🥺
@Nigelwheeler-fz3is,I do not care about what any adverts message is.  I have 2 separate 12 inch copies of that track in my collection. hopefully the value goes up and i make a few quid. Santa has come early.,2025-11-12 15:23:15+00:00,0,i do not care about what any adverts message is. i have 2 separate 12 inch copies of that track in my collection. hopefully the value goes up and i make a few quid. santa has come early.
@cinammondream,Oh no I voted through this one as well,2025-11-12 13:28:58+00:00,0,oh no i voted through this one as well
@BorderBookshop,I'm not crying,2025-11-12 13:19:29+00:00,1,i'm not crying
@NeilYoung-hh7ne,Thank you JL.  Men needed this.,2025-11-12 11:39:28+00:00,0,thank you jl. men needed this.
@russellthompson9271,I'm in tears 😢 beautiful advert,2025-11-12 09:53:15+00:00,0,i'm in tears beautiful advert
@MusicProducerinPrague,"wow I no longer live in the UK but its the first advert that has really hit me hard, that was amazing! PR finally doing what they should do! Brilliant!!!",2025-11-12 09:04:27+00:00,1,"wow i no longer live in the uk but its the first advert that has really hit me hard, that was amazing! pr finally doing what they should do! brilliant!!!"
@the45boxs79,Music aside That kid looks petrified of his dad like he's done something wrong,2025-11-12 08:53:09+00:00,3,music aside that kid looks petrified of his dad like he's done something wrong
@stephaniebennett9123,John Lewis don’t sell records 😐,2025-11-12 06:13:03+00:00,0,john lewis don’t sell records
@selwyn581,"What a beautiful video.  Well done John Lewis, you made me cry 🥹",2025-11-12 04:15:10+00:00,0,"what a beautiful video. well done john lewis, you made me cry 🥹"
@LookinAtStars,"Thank you for portraying autism in a positive light.
Too many of us are still excluded.
🫂❤️",2025-11-12 02:06:16+00:00,0,thank you for portraying autism in a positive light. too many of us are still excluded. 🫂
