author,text,published_at,likes
@guardiannews,John Lewis ad kickstarts Christmas countdown to the tune of 90s club classic ► https://www.theguardian.com/media/2025/nov/04/john-lewis-christmas-advert-countdown-90s-club-classic-where-love-lives,2025-11-04T09:21:26Z,40
@Gary-s9r6x,So he hugged his son after years just because he was bought a record i hug my son every day.,2025-11-15T01:01:56Z,0
@Jess-qy6pm,Was a black singer!!!!!,2025-11-14T22:30:54Z,0
@hopeack12345,❤❤❤❤ Came here after watching the diabolical m&s advert,2025-11-14T22:23:44Z,0
@LessMarxMoreMises,"Worst Christmas ad in history! Was it written by AI?! Forced sentimentality, weird, parody-like cringe fest! It's as if they said ""Right, what sums up a British Christmas?... A middle-aged, Labour-voting dad  doing TikTok-level Dad Dancing at a rave he absolutely should not be at!""",2025-11-14T21:01:06Z,0
@rosson1983,Excellent advert. As usual JL blows the other retailers out of the water.,2025-11-14T19:24:21Z,0
@jackieplatts4359,"Oh this is lovely and, yes, I’m crying 🥹",2025-11-14T17:38:26Z,0
@m535i,"Well done to all those who put this amazing John Lewis advert together. Absolutely nailed it. Can't believe the emotions & tears that have come over me. I'd do anything for one last hug with my dad, but sadly he's gone. Lets hope this advert brings families closer together again.",2025-11-14T16:18:35Z,0
@juliabroadley8411,Beautiful 😢❤,2025-11-14T14:40:39Z,0
@666kismett,Another disappointing Christmas advert,2025-11-14T12:44:17Z,0
@engerland3239,Old skoolers ❤️ ❤,2025-11-14T10:45:24Z,0
@desertofthereal4062,Where is this advert made for? Can’t be the UK it’s brilliant ✌️,2025-11-14T07:19:43Z,0
@nonsense168,And a piano house track,2025-11-14T07:18:57Z,0
@BlazeNero,"Finally, a White British family lol",2025-11-14T00:22:50Z,2
@nanookmoose,Nice to see a Christmas advert representing 82% of England and Wales for a change.,2025-11-13T23:17:04Z,0
@Josephdrfsharpe,Great advert!,2025-11-13T22:57:25Z,0
@Peter-mw3wj,This is their best Christmas advert and you know they had it large on NYE,2025-11-13T21:57:23Z,0
@Danny-vx1wc,"Well done John Lewis, we all needed this. Normal family, normal history, normal Christmas  normal message. Final feels like a Christmas ad we can all relate to.",2025-11-13T21:51:09Z,0
@tylerpearce9610,Brings me tears tbh I can relate to this 100%,2025-11-13T20:43:35Z,0
@tylerpearce9610,They never miss,2025-11-13T20:42:39Z,0
@btkjay9749,My father's idea of bonding was smashing an ashtray across my face and hoofing me down the stairs. Happy days.,2025-11-13T17:38:29Z,0
@KarimaMane-e9s,Eeeee loved the music didn’t cry tho shame wanted to feel,2025-11-13T17:15:42Z,0
@ltrott83,"Best John Lewis Ad in years, if not ever!",2025-11-13T17:03:15Z,1
@wkdsush,Cringe 😂,2025-11-13T16:55:17Z,0
@JustinPugsley,"What a great ad - very sentimental, but positive. Just right for Christmas!",2025-11-13T16:24:07Z,0
@s.n.852,"Anyone  knows  name of the song ( second  part  of the  song ,male vocal )?",2025-11-13T16:00:37Z,0
@DamienCharlesworth85,"Amazing track, never thought I would hear that on a Xmas Ad ever.

Well done on an amazing advert John Lewis!",2025-11-13T11:48:31Z,0
@yudit4208,"So simple, made me cry",2025-11-13T11:35:28Z,0
@ExploringwithAustinandThomas,"I consider myself very lucky that I'm have a close relationship with my son, we share our love of Exploring, 90s music , video games, but yep he does sometimes wear the big headphones and complains when he has to tidy up but that's Teenagers 🙂",2025-11-13T09:59:34Z,1
@SuperTorres76,The worst christmas advert i have ever seen,2025-11-13T08:29:13Z,0
@christopherhoward5959,Great advert,2025-11-13T07:27:06Z,0
@3500P5,"Started off mega cheesy, then it got me 😢",2025-11-13T06:29:11Z,0
@cotchingg,"Finally, something without an agenda, brung a tear to my eye",2025-11-12T20:52:24Z,1
@astrabelmont,53 year-old with a five year-old who saves my life every single day.  Need I say more.,2025-11-12T20:09:41Z,2
@judygreggor612,"This is what a Christmas advert should look like, should represent.  Love, Dads, Sons, Mothers, daughters, family.  ♥♥",2025-11-12T17:54:18Z,7
@sashal7812,🥺🥺🥺🥺🥺🥺🥺🥺🥺,2025-11-12T17:53:47Z,1
@Nigelwheeler-fz3is,I do not care about what any adverts message is.  I have 2 separate 12 inch copies of that track in my collection. hopefully the value goes up and i make a few quid. Santa has come early.,2025-11-12T15:23:15Z,0
@cinammondream,Oh no I voted through this one as well,2025-11-12T13:28:58Z,0
@BorderBookshop,I'm not crying,2025-11-12T13:19:29Z,1
@NeilYoung-hh7ne,Thank you JL.  Men needed this.,2025-11-12T11:39:28Z,0
@russellthompson9271,I'm in tears 😢 beautiful advert,2025-11-12T09:53:15Z,0
@MusicProducerinPrague,"wow I no longer live in the UK but its the first advert that has really hit me hard, that was amazing! PR finally doing what they should do! Brilliant!!!",2025-11-12T09:04:27Z,1
@the45boxs79,Music aside That kid looks petrified of his dad like he's done something wrong,2025-11-12T08:53:09Z,3
@stephaniebennett9123,John Lewis don’t sell records 😐,2025-11-12T06:13:03Z,0
@selwyn581,"What a beautiful video.  Well done John Lewis, you made me cry 🥹",2025-11-12T04:15:10Z,0
@LookinAtStars,"Thank you for portraying autism in a positive light.
Too many of us are still excluded.
🫂❤️",2025-11-12T02:06:16Z,0
@sammyw6687,"Manchester…early 90’s, the Hacienda, the House and Garage music scene, United started winning everything…the city was alive. . Great memories well played John Lewis",2025-11-11T20:09:53Z,0
@SuperChilliJam,Why did he only just find it though?,2025-11-11T20:08:09Z,0
@mickdavidson6688,Tuuuunnnne!!,2025-11-11T19:51:32Z,0
@gazzhumbly5433,This advert is even better that it triggers the wokesters,2025-11-11T19:19:44Z,1
@Senorzilchnzero,I guess Im the only one that sees this ad as nothing more than a manipulation of your mind for consumerism. Ahhhhh this makes me feel sad..its from John Lewis...I guess ill go and shop from their store...Are we so deep into this psychosis as a species that we cant even comprehend that a group of people got hired to make an ad not because they care or because its holidays but because they need to make more money this season. And all you sheep fell for it.,2025-11-11T16:53:01Z,1
@jamsward1966,Love the artwork in the house,2025-11-11T16:49:51Z,0
@glosza,wholesome,2025-11-11T16:25:07Z,0
@joselebeer,Great advert. Caught the dynamic between me and my son perfectly.,2025-11-11T15:54:09Z,3
@edm5166,90s 4 Life ❤,2025-11-11T08:14:26Z,0
@michelecull3261,"Yes its a shame that these relationships with parents/dads happen in the first place isnt it, it takes so much more than a sentimental record in an advert  to fix all that pain though. So much more. 🙏🕊🙁",2025-11-11T07:37:28Z,0
@beemac79,Your boy's never too old for a hug,2025-11-11T07:23:20Z,1
@richardvines2423,Nailed it,2025-11-11T00:08:55Z,0
@Gazeroo71,Superb ❤,2025-11-10T23:46:07Z,0
@GManie88,"To be honest, I thought the son was coming out. Nearly a normal ad asides dad crying over some bull",2025-11-10T23:00:14Z,0
@gemmahartley7592,Made me cry,2025-11-10T22:41:47Z,0
@JackCODYTeGod,Finally a white family representation,2025-11-10T21:16:50Z,0
@ionsi120,I loved this. Beautiful.,2025-11-10T20:58:33Z,0
@dranuragroy2072,"Sometimes the smallest gift carries the biggest truth that love never really leaves, it just finds new ways to be heard.",2025-11-10T20:44:47Z,0
@irenequick5642,I love this add moved me to tears well done guys,2025-11-10T20:07:23Z,0
